dataset,model,original_features,final_features,synthesis_performed,selection_performed,feature_reduction_ratio,enhancement_time_seconds,baseline_r2,baseline_mae,baseline_mse,baseline_rmse,baseline_train_time,baseline_predict_time,baseline_success,baseline_error,enhanced_r2,enhanced_mae,enhanced_mse,enhanced_rmse,enhanced_train_time,enhanced_predict_time,enhanced_success,enhanced_error,mae_improvement_pct,mae_absolute_improvement,r2_improvement,n_samples,train_samples,test_samples,target_type
California,Linear,8,12,True,True,-0.5,218.43738079071045,0.5757877060324513,0.5332001304956554,0.5558915986952436,0.7455813830127759,0.0012559890747070312,0.0002491474151611328,True,,0.6801181517189825,0.4702998448904125,0.41917604596373864,0.647438063418995,0.0012149810791015625,3.504753112792969e-05,True,,11.79674985202492,0.06290028560524291,0.10433044568653116,20640,16512,4128,float64
California,Ridge,8,12,True,True,-0.5,218.43738079071045,0.5758549611440126,0.5332039182571154,0.5558034669932211,0.7455222779992702,0.0006897449493408203,0.00021409988403320312,True,,0.6800107318063404,0.47019874007469803,0.41931680998170673,0.6475467627760227,0.0006830692291259766,3.409385681152344e-05,True,,11.816338182277907,0.06300517818241741,0.10415577066232784,20640,16512,4128,float64
California,RandomForest,8,12,True,True,-0.5,218.43738079071045,0.773209690354021,0.3674272692807286,0.29718805793812464,0.5451495739135496,0.3011140823364258,0.014126777648925781,True,,0.7776396733390377,0.3603385825229303,0.29138296846110423,0.5397990074658384,0.4766261577606201,0.01381993293762207,True,,1.929276172581057,0.007088686757798335,0.004429982985016734,20640,16512,4128,float64
California,KNN,8,12,True,True,-0.5,218.43738079071045,0.14631049965900345,0.8127975600775195,1.1186823858768293,1.0576778270706204,0.0033109188079833984,0.014075994491577148,True,,0.6603037013272101,0.45156340843023257,0.4451410796560261,0.6671889384994524,0.003564119338989258,0.03878188133239746,True,,44.443311519394165,0.3612341516472869,0.5139932016682066,20640,16512,4128,float64
California,DecisionTree,8,12,True,True,-0.5,218.43738079071045,0.6829476865157171,0.4332031802610876,0.4154681981618525,0.6445682261497634,0.06417489051818848,0.0005092620849609375,True,,0.6857865653793831,0.41116346907489176,0.4117481058107663,0.6416760131178088,0.09897708892822266,0.0002770423889160156,True,,5.087615278565758,0.022039711186195854,0.002838878863665961,20640,16512,4128,float64
California,MLP,8,12,True,True,-0.5,218.43738079071045,0.4015860013406545,0.7096383573625961,0.784167076548244,0.885532086684748,0.589489221572876,0.0012478828430175781,True,,0.7850607422894346,0.3581818448997818,0.2816583330803594,0.5307149263779561,4.529483079910278,0.0007739067077636719,True,,49.52614367817134,0.3514565124628143,0.3834747409487801,20640,16512,4128,float64
California,SVR,8,12,True,True,-0.5,218.43738079071045,-0.016485360107176605,0.8599506583445771,1.3320115421348784,1.154128044081279,3.226538896560669,1.3031370639801025,True,,0.6218640622913963,0.47138965262794486,0.49551272776889577,0.7039266494237136,3.039170742034912,1.2870452404022217,True,,45.184104686264234,0.3885610057166322,0.638349422398573,20640,16512,4128,float64
Diabetes,Linear,10,14,True,True,-0.3999999999999999,120.2018620967865,0.45260276297191915,42.79409467959995,2900.193628493483,53.85344583676594,0.0004630088806152344,0.00018525123596191406,True,,0.5355452157586978,39.66671294877896,2460.751927234956,49.60596664953679,0.0002110004425048828,2.6941299438476562e-05,True,,7.307974977005001,3.127381730820993,0.0829424527867787,442,353,89,float64
Diabetes,Ridge,10,14,True,True,-0.3999999999999999,120.2018620967865,0.41915292635986545,46.13885766697452,3077.41593882723,55.47446204180109,0.0004050731658935547,0.00019502639770507812,True,,0.5219405925261732,40.22053714245224,2532.831285602266,50.32724198286914,0.0002110004425048828,2.3126602172851562e-05,True,,12.827193441242324,5.9183205245222865,0.10278766616630775,442,353,89,float64
Diabetes,RandomForest,10,14,True,True,-0.3999999999999999,120.2018620967865,0.4215930238684352,44.867393221155616,3064.4879319456504,55.35781726139182,0.032466888427734375,0.014042139053344727,True,,0.46840353459260753,43.18833845370044,2816.478742703421,53.07050727761533,0.029510021209716797,0.013614892959594727,True,,3.7422605747986246,1.6790547674551775,0.046810510724172305,442,353,89,float64
Diabetes,KNN,10,14,True,True,-0.3999999999999999,120.2018620967865,0.43016439526042805,42.77078651685394,3019.075505617978,54.946114563433675,0.0004069805145263672,0.013737916946411133,True,,0.3827135464199437,45.87415730337079,3270.477303370787,57.188087075638286,0.00018215179443359375,0.013623714447021484,True,,-7.255818840960422,-3.103370786516848,-0.04745084884048434,442,353,89,float64
Diabetes,DecisionTree,10,14,True,True,-0.3999999999999999,120.2018620967865,0.17179020054241645,52.451157643854266,4387.98119713478,66.24183872096833,0.0017168521881103516,0.00026416778564453125,True,,0.028095322563167158,58.12415730337078,5149.298466153419,71.75861248765489,0.0018067359924316406,4.291534423828125e-05,True,,-10.815775884369298,-5.672999659516513,-0.1436948779792493,442,353,89,float64
Diabetes,MLP,10,14,True,True,-0.3999999999999999,120.2018620967865,0.4379437814822249,44.04602334220448,2977.8591369045794,54.56976394400638,0.23820066452026367,0.00025010108947753906,True,,0.4658588906449459,43.1312988984353,2829.960652484077,53.19737448863503,0.2428607940673828,6.318092346191406e-05,True,,2.0767469441280997,0.914724443769181,0.027915109162720997,442,353,89,float64
Diabetes,SVR,10,14,True,True,-0.3999999999999999,120.2018620967865,0.18211365770500276,56.02372412801097,4333.285954518087,65.82769899151943,0.0020301342010498047,0.0009100437164306641,True,,0.08961823191267237,59.91996501358097,4823.34075640951,69.4502754235684,0.0018661022186279297,0.001004934310913086,True,,-6.954626716116402,-3.896240885570002,-0.09249542579233039,442,353,89,float64
AutoMPG,Linear,99,28,True,True,0.7171717171717171,198.06129693984985,0.8000228461688658,2.4456910711126323,10.752060392746776,3.279033454045075,0.0016131401062011719,0.0002586841583251953,True,,0.8525975898486713,2.1775652366820117,7.925303394015849,2.8151915377138814,0.0002551078796386719,2.3603439331054688e-05,True,,10.96319308671477,0.26812583443062055,0.052574743679805525,398,318,80,float64
AutoMPG,Ridge,99,28,True,True,0.7171717171717171,198.06129693984985,0.8418731778317338,2.2596763036320264,8.501916889476343,2.915804672723525,0.0005919933319091797,0.00025200843811035156,True,,0.852676912814403,2.1756625518330637,7.921038480240744,2.8144339537890644,0.0002288818359375,2.5033950805664062e-05,True,,3.7179551630437353,0.08401375179896275,0.010803734982669289,398,318,80,float64
AutoMPG,RandomForest,99,28,True,True,0.7171717171717171,198.06129693984985,0.9146328609813825,1.5167845607657073,4.589887478142925,2.1424022680493326,0.03161907196044922,0.014086008071899414,True,,0.8890036830515229,1.899862808676982,5.967877231667471,2.442923910331116,0.03084421157836914,0.013628005981445312,True,,-25.255943251287317,-0.38307824791127465,-0.025629177929859637,398,318,80,float64
AutoMPG,KNN,99,28,True,True,0.7171717171717171,198.06129693984985,0.72551020728426,2.918,14.758339999999999,3.841658496014449,0.0004496574401855469,0.02290201187133789,True,,0.8529054657813406,2.0854999999999997,7.9087499999999995,2.812249988887901,0.0001590251922607422,0.0004069805145263672,True,,28.529814941740934,0.8325000000000005,0.12739525849708067,398,318,80,float64
AutoMPG,DecisionTree,99,28,True,True,0.7171717171717171,198.06129693984985,0.7886453125104164,2.4025189393939392,11.363789916207528,3.3710220877661907,0.0015668869018554688,0.0003337860107421875,True,,0.8631749947326864,2.1383407738095235,7.356593949298468,2.7123041771339857,0.0006818771362304688,4.00543212890625e-05,True,,10.995882748423098,0.26417816558441576,0.07452968222227008,398,318,80,float64
AutoMPG,MLP,99,28,True,True,0.7171717171717171,198.06129693984985,0.8346650425537151,2.3533541440227603,8.889472689444323,2.981521874721754,0.12079691886901855,0.0003578662872314453,True,,0.8651143185196545,2.0202859711039913,7.252323405993414,2.693013814668134,0.23875808715820312,6.198883056640625e-05,True,,14.152913354104504,0.333068172918769,0.030449275965939382,398,318,80,float64
AutoMPG,SVR,99,28,True,True,0.7171717171717171,198.06129693984985,0.7425080018701435,2.7827022049127175,13.844429033524037,3.7208102657249316,0.003253936767578125,0.00164794921875,True,,0.7871425047823662,2.595478948558545,11.444590543384802,3.382985448296342,0.0018608570098876953,0.0008990764617919922,True,,6.728109677839026,0.18722325635417247,0.04463450291222271,398,318,80,float64
Fish,Linear,11,8,True,True,0.2727272727272727,118.44088506698608,0.9507352480054524,65.30005153357348,7007.383189853781,83.71011402365774,0.0005071163177490234,0.0002257823944091797,True,,0.9672531676184812,47.90248619756841,4657.886084083207,68.24870756346384,0.00016999244689941406,2.09808349609375e-05,True,,26.64249863119979,17.397565336005073,0.016517919613028842,159,127,32,float64
Fish,Ridge,11,8,True,True,0.2727272727272727,118.44088506698608,0.9475825900971674,68.67587596402055,7455.815002365913,86.34706134180776,0.0004999637603759766,0.00021982192993164062,True,,0.9632929083363934,49.667887414590105,5221.190540052792,72.25780608386053,0.00018930435180664062,2.288818359375e-05,True,,27.67782468386537,19.007988549430443,0.015710318239225973,159,127,32,float64
Fish,RandomForest,11,8,True,True,0.2727272727272727,118.44088506698608,0.9656398282879041,46.17195833333333,4887.366319888885,69.90970118580744,0.03155994415283203,0.014050006866455078,True,,0.9646779563545089,49.066491071428565,5024.182297722504,70.88146653196803,0.01771712303161621,0.013595104217529297,True,,-6.269027441284769,-2.8945327380952364,-0.000961871933395142,159,127,32,float64
Fish,KNN,11,8,True,True,0.2727272727272727,118.44088506698608,0.9658739225956693,47.501875000000005,4854.068912500001,69.67114835066235,0.00038695335388183594,0.01374506950378418,True,,0.9225947222816204,65.00375000000001,11010.071500000002,104.92888782408781,0.0001327991485595703,0.013548135757446289,True,,-36.84459823954318,-17.501875000000005,-0.04327920031404886,159,127,32,float64
Fish,DecisionTree,11,8,True,True,0.2727272727272727,118.44088506698608,0.9569459270977395,45.806250000000006,6123.980625,78.25586639351711,0.0007960796356201172,0.00028896331787109375,True,,0.9264161673766521,65.025,10466.511875,102.30597184426723,0.0004761219024658203,3.695487976074219e-05,True,,-41.95661072451903,-19.21875,-0.0305297597210874,159,127,32,float64
Fish,MLP,11,8,True,True,0.2727272727272727,118.44088506698608,0.6608998772199068,196.85916758357735,48233.359630219304,219.62094533586568,0.026254892349243164,0.00026607513427734375,True,,0.9801883955733666,37.650891306764294,2817.988484720039,53.08472929873561,0.09902691841125488,4.38690185546875e-05,True,,80.8741996784176,159.20827627681305,0.3192885183534597,159,127,32,float64
