dataset,model,original_features,final_features,synthesis_performed,selection_performed,feature_reduction_ratio,enhancement_time_seconds,baseline_r2,baseline_mae,baseline_mse,baseline_rmse,baseline_train_time,baseline_predict_time,baseline_success,baseline_error,enhanced_r2,enhanced_mae,enhanced_mse,enhanced_rmse,enhanced_train_time,enhanced_predict_time,enhanced_success,enhanced_error,mae_improvement_pct,mae_absolute_improvement,r2_improvement,n_samples,train_samples,test_samples,target_type
California,Linear,8,11,True,True,-0.375,170.57974195480347,0.5757877060324513,0.5332001304956554,0.5558915986952436,0.7455813830127759,0.0016887187957763672,0.0004563331604003906,True,,0.6794739120737892,0.470965069534065,0.4200202633789388,0.6480897031884851,0.0012612342834472656,7.176399230957031e-05,True,,11.671989071671378,0.06223506096159043,0.10368620604133783,20640,16512,4128,float64
California,Ridge,8,11,True,True,-0.375,170.57974195480347,0.5758549611440126,0.5332039182571154,0.5558034669932211,0.7455222779992702,0.0008480548858642578,0.0003387928009033203,True,,0.6793593611493787,0.47086440973349464,0.42017037193875206,0.6482055013178707,0.0005400180816650391,3.409385681152344e-05,True,,11.691494827605554,0.0623395085236208,0.10350440000536609,20640,16512,4128,float64
California,RandomForest,8,11,True,True,-0.375,170.57974195480347,0.8048502475905297,0.3275993549176358,0.2557259876588585,0.5056935709091609,1.105837106704712,0.026798725128173828,True,,0.801551487426069,0.3275752655281009,0.2600487125954312,0.5099497157518879,1.7037758827209473,0.01350092887878418,True,,0.007353307988340128,2.4089389534909245e-05,-0.0032987601644607345,20640,16512,4128,float64
California,KNN,8,11,True,True,-0.375,170.57974195480347,0.15538785394268484,0.8162896218507751,1.1067873393248198,1.052039609199587,0.0035860538482666016,0.014266014099121094,True,,0.7073903502849277,0.41677796778100773,0.38343831210655543,0.6192239595708127,0.0035071372985839844,0.026679039001464844,True,,48.942390467240514,0.3995116540697674,0.5520024963422429,20640,16512,4128,float64
California,DecisionTree,8,11,True,True,-0.375,170.57974195480347,0.6186632145457622,0.4557622892441861,0.4997071473927568,0.7068996727915191,0.10092306137084961,0.001077890396118164,True,,0.6125932262313272,0.4487351550387597,0.5076613145778099,0.712503554080827,0.14035296440124512,0.000720977783203125,True,,1.5418419582453486,0.0070271342054263886,-0.00606998831443506,20640,16512,4128,float64
California,MLP,8,11,True,True,-0.375,170.57974195480347,0.4015860013406545,0.7096383573625961,0.784167076548244,0.885532086684748,0.5900101661682129,0.0015959739685058594,True,,0.7912181212545358,0.3598722499797442,0.27358964840205907,0.5230579780502913,5.80700421333313,0.0008256435394287109,True,,49.28793712374481,0.34976610738285185,0.38963211991388136,20640,16512,4128,float64
California,SVR,8,11,True,True,-0.375,170.57974195480347,-0.016485360107176605,0.8599506583445771,1.3320115421348784,1.154128044081279,3.244597911834717,1.3120038509368896,True,,0.6213328202489566,0.47198819542630677,0.4962088721109278,0.7044209480920679,3.1345090866088867,1.2785367965698242,True,,45.11450269310871,0.3879624629182703,0.6378181803561332,20640,16512,4128,float64
Diabetes,Linear,10,12,True,True,-0.19999999999999996,120.87791085243225,0.45260276297191915,42.79409467959995,2900.193628493483,53.85344583676594,0.0006499290466308594,0.00032782554626464844,True,,0.4676991828671264,42.27322505682261,2820.21050502935,53.10565417193681,0.00022125244140625,2.574920654296875e-05,True,,1.217153036364244,0.5208696227773402,0.01509641989520727,442,353,89,float64
Diabetes,Ridge,10,12,True,True,-0.19999999999999996,120.87791085243225,0.41915292635986545,46.13885766697452,3077.41593882723,55.47446204180109,0.0005130767822265625,0.0003399848937988281,True,,0.4689791234090711,42.27230864315533,2813.4291858090487,53.041768313368365,0.00020694732666015625,2.384185791015625e-05,True,,8.38024437390181,3.8665490238191964,0.049826197049205656,442,353,89,float64
Diabetes,RandomForest,10,12,True,True,-0.19999999999999996,120.87791085243225,0.4428225673999313,44.053033707865175,2952.0105887640448,54.332408273184846,0.05136895179748535,0.014371871948242188,True,,0.4641504357792591,43.940000000000005,2839.0123056179777,53.28238269463911,0.04976201057434082,0.013646841049194336,True,,0.25658552510763805,0.11303370786517064,0.021327868379327763,442,353,89,float64
