dataset,model,original_features,final_features,synthesis_performed,selection_performed,feature_reduction_ratio,enhancement_time_seconds,baseline_r2,baseline_mae,baseline_mse,baseline_rmse,baseline_train_time,baseline_predict_time,baseline_success,baseline_error,enhanced_r2,enhanced_mae,enhanced_mse,enhanced_rmse,enhanced_train_time,enhanced_predict_time,enhanced_success,enhanced_error,mae_improvement_pct,mae_absolute_improvement,r2_improvement,n_samples,train_samples,test_samples,target_type
California,Linear,8,11,True,True,-0.375,27.35001301765442,0.5757877060324513,0.5332001304956554,0.5558915986952436,0.7455813830127759,0.0016338825225830078,0.00039505958557128906,True,,0.6839490634496401,0.4652407096060464,0.4141559848370364,0.6435495201125058,0.0012662410736083984,3.790855407714844e-05,True,,12.745574691895678,0.06795942088960899,0.1081613574171888,20640,16512,4128,float64
California,Ridge,8,11,True,True,-0.375,27.35001301765442,0.5758549611440126,0.5332039182571154,0.5558034669932211,0.7455222779992702,0.0007729530334472656,0.0003120899200439453,True,,0.6837794709797702,0.465169607496747,0.4143782203321962,0.6437221608211078,0.0005729198455810547,3.1948089599609375e-05,True,,12.759529409077167,0.06803431076036842,0.10792450983575763,20640,16512,4128,float64
California,RandomForest,8,11,True,True,-0.375,27.35001301765442,0.8048502475905297,0.3275993549176358,0.2557259876588585,0.5056935709091609,1.1811158657073975,0.026134967803955078,True,,0.8211618440756387,0.3128403948158916,0.23435112517532886,0.48409825983505544,1.7366371154785156,0.013455867767333984,True,,4.505185947467714,0.014758960101744212,0.016311596485109048,20640,16512,4128,float64
California,KNN,8,11,True,True,-0.375,27.35001301765442,0.15538785394268484,0.8162896218507751,1.1067873393248198,1.052039609199587,0.0034170150756835938,0.014276266098022461,True,,0.7118322802587531,0.41251990188953486,0.37761756718813727,0.6145059537450693,0.003347158432006836,0.056119680404663086,True,,49.46402712382553,0.4037697199612403,0.5564444263160683,20640,16512,4128,float64
California,DecisionTree,8,11,True,True,-0.375,27.35001301765442,0.6186632145457622,0.4557622892441861,0.4997071473927568,0.7068996727915191,0.10239505767822266,0.0010840892791748047,True,,0.6333574706231789,0.4352174370155039,0.48045166230033914,0.693146205573066,0.14870715141296387,0.0006630420684814453,True,,4.507799946053625,0.020544852228682187,0.0146942560774167,20640,16512,4128,float64
California,MLP,8,11,True,True,-0.375,27.35001301765442,0.4015860013406545,0.7096383573625961,0.784167076548244,0.885532086684748,0.5798919200897217,0.0015521049499511719,True,,0.7949582840013659,0.3524766981946106,0.26868850555853085,0.5183517199339951,7.489588022232056,0.00078582763671875,True,,50.33009496490486,0.3571616591679855,0.39337228266071145,20640,16512,4128,float64
California,SVR,8,11,True,True,-0.375,27.35001301765442,-0.016485360107176605,0.8599506583445771,1.3320115421348784,1.154128044081279,3.224240779876709,1.6022109985351562,True,,0.7606581101265133,0.3692715322883862,0.31363576135936155,0.5600319288749183,2.900890827178955,1.4879670143127441,True,,57.05898603540328,0.49067912605619085,0.7771434702336899,20640,16512,4128,float64
Diabetes,Linear,10,13,True,True,-0.30000000000000004,14.571073055267334,0.45260276297191915,42.79409467959995,2900.193628493483,53.85344583676594,0.0006139278411865234,0.00030684471130371094,True,,0.5271854514077055,39.978747022099405,2505.0432273483525,50.05040686496317,0.0002009868621826172,2.193450927734375e-05,True,,6.578822799218203,2.8153476575005456,0.0745826884357863,442,353,89,float64
Diabetes,Ridge,10,13,True,True,-0.30000000000000004,14.571073055267334,0.41915292635986545,46.13885766697452,3077.41593882723,55.47446204180109,0.0006229877471923828,0.0003337860107421875,True,,0.5281686683238036,39.95795852154723,2499.8339949251567,49.99833992169297,0.00022602081298828125,2.3126602172851562e-05,True,,13.396298603750395,6.18089914542729,0.10901574196393815,442,353,89,float64
Diabetes,RandomForest,10,13,True,True,-0.30000000000000004,14.571073055267334,0.4428225673999313,44.053033707865175,2952.0105887640448,54.332408273184846,0.049353837966918945,0.014178037643432617,True,,0.4791730485318584,43.00438202247191,2759.4202235955054,52.53018392881854,0.04866814613342285,0.01360774040222168,True,,2.3804301250790862,1.048651685393267,0.03635048113192707,442,353,89,float64
