dataset,model,original_features,final_features,synthesis_performed,selection_performed,feature_reduction_ratio,enhancement_time_seconds,baseline_r2,baseline_mae,baseline_mse,baseline_rmse,baseline_train_time,baseline_predict_time,baseline_success,baseline_error,enhanced_r2,enhanced_mae,enhanced_mse,enhanced_rmse,enhanced_train_time,enhanced_predict_time,enhanced_success,enhanced_error,mae_improvement_pct,mae_absolute_improvement,r2_improvement,n_samples,train_samples,test_samples,target_type
California,Linear,8,11,True,True,-0.375,16.671030044555664,0.5757877060324513,0.5332001304956554,0.5558915986952436,0.7455813830127759,0.007448911666870117,0.0004749298095703125,True,,0.6753482745094349,0.47274199071886214,0.42542653588423646,0.6522472965710447,0.0012459754943847656,3.910064697265625e-05,True,,11.338733117074112,0.06045813977679326,0.09956056847698358,20640,16512,4128,float64
California,Ridge,8,11,True,True,-0.375,16.671030044555664,0.5758549611440126,0.5332039182571154,0.5558034669932211,0.7455222779992702,0.0008530616760253906,0.0003540515899658203,True,,0.6751345145901095,0.4725573517823118,0.4257066488017085,0.652461990311856,0.0005350112915039062,3.2901763916015625e-05,True,,11.373991150147432,0.060646566474803654,0.09927955344609696,20640,16512,4128,float64
California,RandomForest,8,11,True,True,-0.375,16.671030044555664,0.8048502475905297,0.32759935491763575,0.2557259876588585,0.5056935709091609,1.5158090591430664,0.013808965682983398,True,,0.8155841979593264,0.31840641557655047,0.24166012272359524,0.49158938426658,2.360311985015869,0.013342142105102539,True,,2.8061530656544025,0.009192939341085282,0.010733950368796652,20640,16512,4128,float64
California,KNN,8,11,True,True,-0.375,16.671030044555664,0.15538785394268484,0.8162896218507751,1.1067873393248198,1.052039609199587,0.005633831024169922,0.014281034469604492,True,,0.6819992773925996,0.4368373435077519,0.41671100199183136,0.6455315654496157,0.0032851696014404297,0.06072807312011719,True,,46.48500583441087,0.37945227834302325,0.5266114234499147,20640,16512,4128,float64
California,DecisionTree,8,11,True,True,-0.375,16.671030044555664,0.6186632145457622,0.4557622892441861,0.4997071473927568,0.7068996727915191,0.09871196746826172,0.0011260509490966797,True,,0.6389974819518796,0.43874069767441864,0.47306094081782935,0.6877942576220227,0.13982009887695312,0.0007307529449462891,True,,3.734752078324697,0.017021591569767458,0.020334267406117323,20640,16512,4128,float64
California,MLP,8,11,True,True,-0.375,16.671030044555664,0.4015860013406545,0.7096383573625961,0.784167076548244,0.885532086684748,0.5862419605255127,0.0014719963073730469,True,,0.7985669613937696,0.35095052573019564,0.2639596623039502,0.5137700480798294,7.90531587600708,0.0009319782257080078,True,,50.545158376934474,0.3586878316324004,0.3969809600531151,20640,16512,4128,float64
California,SVR,8,11,True,True,-0.375,16.671030044555664,-0.016485360107176605,0.8599506583445771,1.3320115421348784,1.154128044081279,3.266903877258301,1.3081440925598145,True,,0.7427399461319946,0.38463654335918845,0.3371158843313717,0.580616813682976,3.00396990776062,1.1892590522766113,True,,55.272254329146996,0.4753141149853886,0.7592253062391712,20640,16512,4128,float64
Diabetes,Linear,10,9,True,True,0.09999999999999998,8.84141206741333,0.45260276297191915,42.79409467959995,2900.193628493483,53.85344583676594,0.0006201267242431641,0.00034999847412109375,True,,0.5370524686251239,39.4667624779846,2452.766272825244,49.52541037513212,0.00017714500427246094,2.288818359375e-05,True,,7.775213441310387,3.3273322016153486,0.08444970565320475,442,353,89,float64
Diabetes,Ridge,10,9,True,True,0.09999999999999998,8.84141206741333,0.41915292635986545,46.13885766697452,3077.41593882723,55.47446204180109,0.0004799365997314453,0.00030493736267089844,True,,0.5371114662157999,39.49066508372533,2452.453694637046,49.52225453911651,0.00017213821411132812,2.288818359375e-05,True,,14.409096625744732,6.648192583249191,0.11795853985593441,442,353,89,float64
Diabetes,RandomForest,10,9,True,True,0.09999999999999998,8.84141206741333,0.4428225673999313,44.053033707865175,2952.0105887640448,54.332408273184846,0.04902219772338867,0.01409292221069336,True,,0.49609542766329273,42.2938202247191,2669.762891011236,51.669748315733415,0.04830479621887207,0.011453390121459961,True,,3.9933991715807506,1.7592134831460768,0.05327286026336142,442,353,89,float64
Diabetes,KNN,10,9,True,True,0.09999999999999998,8.84141206741333,0.41199127807645397,45.124719101123596,3115.359438202248,55.81540502587299,0.0005621910095214844,0.013876914978027344,True,,0.393710767070813,45.35056179775281,3212.2123595505614,56.6763827317037,0.00016617774963378906,0.013539791107177734,True,,-0.5004855456786466,-0.22584269662921486,-0.018280511005640987,442,353,89,float64
Diabetes,DecisionTree,10,9,True,True,0.09999999999999998,8.84141206741333,0.060653981041140725,54.52808988764045,4976.797752808989,70.54642267903446,0.0019249916076660156,0.00037097930908203125,True,,0.07398489658219165,54.82022471910113,4906.168539325843,70.04404713696835,0.00138092041015625,4.100799560546875e-05,True,,-0.5357510818050777,-0.29213483146067887,0.013330915541050925,442,353,89,float64
Diabetes,MLP,10,9,True,True,0.09999999999999998,8.84141206741333,0.4379437814822249,44.04602334220448,2977.8591369045794,54.56976394400638,0.23180389404296875,0.00043702125549316406,True,,-0.2137588846828955,60.08726767877744,6430.678757160243,80.19151299957024,0.09316897392272949,6.29425048828125e-05,True,,-36.41927947034981,-16.04124433657296,-0.6517026661651204,442,353,89,float64
Diabetes,SVR,10,9,True,True,0.09999999999999998,8.84141206741333,0.18211365770500276,56.02372412801097,4333.285954518087,65.82769899151943,0.002190113067626953,0.001010894775390625,True,,0.12411108516440761,58.068792986842666,4640.592385642502,68.12189358526744,0.0019207000732421875,0.0007872581481933594,True,,-3.6503622182610247,-2.045068858831698,-0.058002572540595154,442,353,89,float64
AutoMPG,Linear,99,45,True,True,0.5454545454545454,10.561289072036743,0.8000228461688658,2.4456910711126323,10.752060392746776,3.279033454045075,0.0030510425567626953,0.0012259483337402344,True,,0.8372575140146428,2.244336668838261,8.750084718466871,2.958054211549692,0.0004589557647705078,2.6941299438476562e-05,True,,8.233026838617361,0.2013544022743714,0.037234667845777,398,318,80,float64
AutoMPG,Ridge,99,45,True,True,0.5454545454545454,10.561289072036743,0.8418731778317338,2.2596763036320264,8.501916889476343,2.915804672723525,0.0015439987182617188,0.001180887222290039,True,,0.8397713819385018,2.2197824120309235,8.614922980143783,2.9351189039191894,0.0002307891845703125,2.4080276489257812e-05,True,,1.7654693080146298,0.039893891601102904,-0.0021017958932320058,398,318,80,float64
AutoMPG,RandomForest,99,45,True,True,0.5454545454545454,10.561289072036743,0.9116656029998265,1.5209375000000003,4.749426387499997,2.179317872064559,0.04793691635131836,0.014886140823364258,True,,0.9061502624022812,1.602087500000001,5.045966637500005,2.2463229147876325,0.045665740966796875,0.012955188751220703,True,,-5.335524964043605,-0.08115000000000072,-0.005515340597545215,398,318,80,float64
AutoMPG,KNN,99,45,True,True,0.5454545454545454,10.561289072036743,0.7420029756013016,2.803,13.871582500000002,3.724457343023276,0.0014300346374511719,0.026729106903076172,True,,0.8142426194962913,2.189375,9.98751375,3.1603027940373054,0.0001990795135498047,0.0005688667297363281,True,,21.89172315376382,0.6136249999999999,0.07223964389498971,398,318,80,float64
AutoMPG,DecisionTree,99,45,True,True,0.5454545454545454,10.561289072036743,0.7976409775102524,2.31875,10.880125,3.298503448535411,0.0028448104858398438,0.0013079643249511719,True,,0.8115483507313053,2.24875,10.132375000000001,3.1831391738345345,0.0008549690246582031,4.315376281738281e-05,True,,3.018867924528314,0.07000000000000028,0.013907373221052843,398,318,80,float64
AutoMPG,MLP,99,45,True,True,0.5454545454545454,10.561289072036743,0.8346650425537151,2.3533541440227603,8.889472689444323,2.981521874721754,0.12706708908081055,0.0014128684997558594,True,,0.8726621225893321,1.9843966826357504,6.846504823045078,2.616582661229161,0.25530290603637695,8.082389831542969e-05,True,,15.677940454653541,0.3689574613870099,0.03799708003561697,398,318,80,float64
AutoMPG,SVR,99,45,True,True,0.5454545454545454,10.561289072036743,0.7425080018701435,2.7827022049127175,13.844429033524037,3.7208102657249316,0.004328012466430664,0.0025992393493652344,True,,0.5875230588291035,3.3741816136280662,22.177418255637072,4.709290631893202,0.002232789993286133,0.0010051727294921875,True,,-21.255576959371446,-0.5914794087153488,-0.15498494304104005,398,318,80,float64
Fish,Linear,11,14,True,True,-0.2727272727272727,8.751691102981567,0.9507352480054524,65.30005153357348,7007.383189853781,83.71011402365774,0.0006248950958251953,0.0003120899200439453,True,,0.9832768547574301,32.633453454291725,2378.6882529569384,48.77179772119271,0.0001900196075439453,2.288818359375e-05,True,,50.025378712735765,32.666598079281755,0.0325416067519777,159,127,32,float64
