dataset,model,original_features,final_features,synthesis_performed,selection_performed,feature_reduction_ratio,enhancement_time_seconds,baseline_r2,baseline_mae,baseline_mse,baseline_rmse,baseline_train_time,baseline_predict_time,baseline_success,baseline_error,enhanced_r2,enhanced_mae,enhanced_mse,enhanced_rmse,enhanced_train_time,enhanced_predict_time,enhanced_success,enhanced_error,mae_improvement_pct,mae_absolute_improvement,r2_improvement,n_samples,train_samples,test_samples,target_type
California,Linear,8,11,True,True,-0.375,354.39051389694214,0.5757877060324512,0.533200130495656,0.5558915986952437,0.745581383012776,0.0025680065155029297,0.0005736351013183594,True,,0.6653736486159758,0.47430164130944186,0.43849737520961934,0.6621913433514661,0.002015829086303711,8.463859558105469e-05,True,,11.046225576025801,0.0588984891862141,0.08958594258352459,20640,16512,4128,float64
California,Ridge,8,11,True,True,-0.375,354.39051389694214,0.5758549611440128,0.5332039182571157,0.5558034669932208,0.74552227799927,0.0015537738800048828,0.00048041343688964844,True,,0.665003284583334,0.474226273549009,0.4389827035632107,0.6625576982899004,0.0009891986846923828,7.724761962890625e-05,True,,11.060992368714578,0.05897764470810668,0.08914832343932122,20640,16512,4128,float64
California,RandomForest,8,11,True,True,-0.375,354.39051389694214,0.8051230593157366,0.32754256845930246,0.2553684927247781,0.5053399773665033,0.9914319515228271,0.027167558670043945,True,,0.7998397128070995,0.3308477350048451,0.26229183742485374,0.5121443521360494,1.252316951751709,0.027123689651489258,True,,-1.0090799986974237,-0.003305166545542637,-0.0052833465086370435,20640,16512,4128,float64
California,KNN,8,11,True,True,-0.375,354.39051389694214,0.15538785394268484,0.8162896218507751,1.1067873393248198,1.052039609199587,0.012368440628051758,0.01676344871520996,True,,0.6698676885589916,0.4451051785368217,0.43260834491971817,0.657729689857253,0.014671564102172852,0.12167906761169434,True,,45.472150248874435,0.37118444331395345,0.5144798346163068,20640,16512,4128,float64
California,DecisionTree,8,11,True,True,-0.375,354.39051389694214,0.622075845135081,0.45467918846899225,0.495235205629094,0.7037294974840077,0.1195676326751709,0.0015685558319091797,True,,0.5904585706193091,0.464790191375969,0.5366667660220689,0.7325754336736039,0.16810035705566406,0.0010232925415039062,True,,-2.223766374929714,-0.010111002906976752,-0.0316172745157719,20640,16512,4128,float64
California,MLP,8,11,True,True,-0.375,354.39051389694214,0.4015860013408883,0.7096383573623898,0.7841670765479377,0.8855320866845751,0.9115421772003174,0.0025882720947265625,True,,0.7846797989962424,0.35869946455795854,0.28215752459195914,0.531185019171248,14.63494324684143,0.00400543212890625,True,,49.45320234785701,0.35093889280443125,0.3830937976553541,20640,16512,4128,float64
California,SVR,8,11,True,True,-0.375,354.39051389694214,-0.016485360107176605,0.8599506583445775,1.3320115421348784,1.154128044081279,4.124653100967407,2.007946729660034,True,,0.7004515198840922,0.4207269588095163,0.3925310177623012,0.6265229586873103,3.831383228302002,1.762328863143921,True,,51.07545360574242,0.4392236995350612,0.7169368799912688,20640,16512,4128,float64
Diabetes,Linear,10,8,True,True,0.19999999999999996,183.69705629348755,0.45260276297191915,42.79409467959996,2900.193628493483,53.85344583676594,0.0009756088256835938,0.0004906654357910156,True,,0.5181149557300029,40.103800446794324,2553.1000898830853,50.528210832000426,0.00026297569274902344,3.528594970703125e-05,True,,6.286601581241309,2.690294232805634,0.06551219275808373,442,353,89,float64
Diabetes,Ridge,10,8,True,True,0.19999999999999996,183.69705629348755,0.41915292635986545,46.13885766697452,3077.41593882723,55.47446204180109,0.0013155937194824219,0.0005857944488525391,True,,0.5183509929566813,40.10557848438528,2551.8495288378435,50.5158344367174,0.0002970695495605469,3.504753112792969e-05,True,,13.076351447920148,6.03327918258924,0.09919806659681585,442,353,89,float64
Diabetes,RandomForest,10,8,True,True,0.19999999999999996,183.69705629348755,0.4428225673999313,44.053033707865175,2952.0105887640448,54.332408273184846,0.06480860710144043,0.01593804359436035,True,,0.4633112703393598,42.88460674157304,2843.4583314606743,53.324087722723156,0.06442928314208984,0.015645265579223633,True,,2.652318961823345,1.168426966292138,0.020488702939428505,442,353,89,float64
Diabetes,KNN,10,8,True,True,0.19999999999999996,183.69705629348755,0.41199127807645397,45.124719101123596,3115.359438202248,55.81540502587299,0.0013840198516845703,0.01659536361694336,True,,0.5288649161024489,40.13707865168539,2496.145168539326,49.96143681420027,0.0003097057342529297,0.017101287841796875,True,,11.05301162819651,4.987640449438203,0.11687363802599493,442,353,89,float64
