dataset,model,original_features,final_features,synthesis_performed,selection_performed,feature_reduction_ratio,enhancement_time_seconds,baseline_r2,baseline_mae,baseline_mse,baseline_rmse,baseline_train_time,baseline_predict_time,baseline_success,baseline_error,enhanced_r2,enhanced_mae,enhanced_mse,enhanced_rmse,enhanced_train_time,enhanced_predict_time,enhanced_success,enhanced_error,mae_improvement_pct,mae_absolute_improvement,r2_improvement,n_samples,train_samples,test_samples,target_type
California,Linear,8,11,True,True,-0.375,161.7526400089264,0.5757877060324513,0.5332001304956554,0.5558915986952436,0.7455813830127759,0.008968114852905273,0.0003228187561035156,True,,0.6766699124331887,0.4741720902113977,0.4236946496829658,0.6509183126037904,0.0012428760528564453,3.600120544433594e-05,True,,11.070522475188826,0.05902804028425768,0.10088220640073742,20640,16512,4128,float64
California,Ridge,8,11,True,True,-0.375,161.7526400089264,0.5758549611440126,0.5332039182571154,0.5558034669932211,0.7455222779992702,0.0006279945373535156,0.00021576881408691406,True,,0.6765449175775664,0.4739584240578734,0.4238584440640071,0.6510441183698744,0.000591278076171875,3.2901763916015625e-05,True,,11.111226337739202,0.05924549419924202,0.10068995643355383,20640,16512,4128,float64
California,RandomForest,8,11,True,True,-0.375,161.7526400089264,0.773209690354021,0.36742726928072866,0.29718805793812464,0.5451495739135496,0.310546875,0.014164209365844727,True,,0.7749011819970792,0.3597105869697715,0.29497151210244155,0.5431127986914335,0.3689908981323242,0.013985872268676758,True,,2.1001931419143895,0.007716682310957179,0.0016914916430582627,20640,16512,4128,float64
California,KNN,8,11,True,True,-0.375,161.7526400089264,0.14631049965900345,0.8127975600775195,1.1186823858768293,1.0576778270706204,0.005525112152099609,0.014076948165893555,True,,0.6998049709248746,0.4171088648255814,0.3933782613233323,0.6271987414873632,0.003453969955444336,0.038800954818725586,True,,48.68231829020252,0.39568869525193806,0.5534944712658711,20640,16512,4128,float64
California,DecisionTree,8,11,True,True,-0.375,161.7526400089264,0.6829476865157171,0.4332031802610876,0.4154681981618525,0.6445682261497634,0.06437277793884277,0.0004949569702148438,True,,0.7035085524738725,0.4045795546487589,0.3885250548098782,0.6233177799564827,0.07243800163269043,0.000263214111328125,True,,6.607436629407368,0.02862362561232873,0.020560865958155317,20640,16512,4128,float64
California,MLP,8,11,True,True,-0.375,161.7526400089264,0.4015860013406545,0.7096383573625961,0.784167076548244,0.885532086684748,0.5892672538757324,0.0014259815216064453,True,,0.7841273276439236,0.3597803600180922,0.2828814880122587,0.5318660432968613,5.897461175918579,0.0008089542388916016,True,,49.3008859674338,0.34985799734450385,0.3825413263032691,20640,16512,4128,float64
California,SVR,8,11,True,True,-0.375,161.7526400089264,-0.016485360107176605,0.8599506583445771,1.3320115421348784,1.154128044081279,3.2504138946533203,1.3101310729980469,True,,0.7277862396018709,0.3956423899395389,0.35671135562642536,0.5972531754845891,3.0187368392944336,1.2418551445007324,True,,53.99243129819114,0.4643082684050382,0.7442715997090475,20640,16512,4128,float64
Diabetes,Linear,10,11,True,True,-0.10000000000000009,117.80530595779419,0.45260276297191915,42.79409467959995,2900.193628493483,53.85344583676594,0.0005156993865966797,0.00021195411682128906,True,,0.5261298751957477,41.14119701050172,2510.6358303014295,50.106245422117084,0.0002129077911376953,2.6941299438476562e-05,True,,3.862443361574771,1.6528976690982304,0.07352711222382857,442,353,89,float64
Diabetes,Ridge,10,11,True,True,-0.10000000000000009,117.80530595779419,0.41915292635986545,46.13885766697452,3077.41593882723,55.47446204180109,0.0003688335418701172,0.0001971721649169922,True,,0.527798295947931,40.88880489596068,2501.796283975988,50.017959614282425,0.00018715858459472656,2.193450927734375e-05,True,,11.37880961186377,5.250052771013841,0.10864536958806559,442,353,89,float64
Diabetes,RandomForest,10,11,True,True,-0.10000000000000009,117.80530595779419,0.4215930238684352,44.867393221155616,3064.4879319456504,55.35781726139182,0.033168792724609375,0.014017105102539062,True,,0.47897928270202916,42.56025008736074,2760.4468243656183,52.53995455237489,0.030375957489013672,0.011887788772583008,True,,5.142137682086292,2.307143133794874,0.05738625883359394,442,353,89,float64
Diabetes,KNN,10,11,True,True,-0.10000000000000009,117.80530595779419,0.43016439526042805,42.77078651685394,3019.075505617978,54.946114563433675,0.0004391670227050781,0.013746023178100586,True,,0.3392840278449608,46.3685393258427,3500.5734831460672,59.16564444968099,0.00018715858459472656,0.0135650634765625,True,,-8.41170598434297,-3.5977528089887585,-0.09088036741546723,442,353,89,float64
Diabetes,DecisionTree,10,11,True,True,-0.10000000000000009,117.80530595779419,0.17179020054241645,52.451157643854266,4387.98119713478,66.24183872096833,0.0016551017761230469,0.0002410411834716797,True,,0.3423841501676643,50.14588014981274,3484.1485646414203,59.026676720288265,0.0013458728790283203,4.220008850097656e-05,True,,4.395093640629373,2.305277494041526,0.17059394962524788,442,353,89,float64
